pctORB,pctDRB,pctAST,pctSTL,pctBLK,pctTOV,ptsPerGame,pctUSG,ratioPER,pctFTRate,pctFT,fgaPerMinute,FG% by Distance 2P,FG% by Distance (3P),% of FG Ast'd 2P,% of FGA by Distance 3P,Corner 3s %3PA,% of FG Ast'd 3P,Dunks,% of FGA by Distance (0-3),% of FGA by Distance (3-10),% of FGA by Distance (10-16),% of FGA by Distance (16-3P)
0.9,0.124,0.239,0.018000000000000002,0.5,0.102,3.7,0.125,13.7,0.084,0.8,9,0.459,0.39,0.179,0.659,0.11,0.587,0,0.078,0.022,0.061,0.179
0.14400000000000002,0.166,0.027000000000000003,0.7,0.011000000000000001,0.11,4.1,0.23199999999999998,20.3,0.716,0.755,12.4,0.528,0.5,0.447,0.027,0.5,1,0.027,0.419,0.243,0.135,0.176
0.133,0.182,0.046,0.015,0.043,0.163,2.3,0.10800000000000001,9.7,0.386,0.333,5.9,0.433,NA,0.676,0,NA,NA,0.099,0.579,0.263,0.123,0.035
0.011000000000000001,0.087,0.22699999999999998,0.023,0.6,0.204,5.2,0.191,9.3,0.152,0.872,11.3,0.42,0.333,0.316,0.293,0.147,0.52,0,0.188,0.094,0.145,0.281
0.013999999999999999,0.076,0.213,0.018000000000000002,0.3,0.136,9.7,0.174,13.6,0.258,0.825,10.4,0.446,0.421,0.272,0.393,0.37,0.788,0.035,0.239,0.055,0.102,0.211
0,0.187,0.287,0,0,0,0.7,0.155,16.1,0,0,12,0.5,NA,1,0,NA,NA,0.5,1,0,0,0
0.023,0.102,0.136,0.9,0.012,0.099,4.3,0.198,10.2,0.173,0.895,13.2,0.438,0.304,0.25,0.418,0.261,0.643,0.009,0.145,0.164,0.055,0.218
0.027999999999999997,0.07400000000000001,0.14800000000000002,0.011000000000000001,0.01,0.132,4.9,0.187,12.2,0.352,0.823,10.8,0.476,0.25,0.474,0.068,0.75,1,0.023,0.494,0.131,0.131,0.176
0.055,0.10800000000000001,0.20800000000000002,0.02,0.3,0.22399999999999998,4.5,0.19699999999999998,9.8,0.29,0.769,11.1,0.4,0.37,0.265,0.241,0.111,0.6,0.013,0.317,0.049,0.134,0.259
0.087,0.12300000000000001,0.071,0.025,0.5,0.115,5.5,0.146,13.5,0.368,0.676,8.9,0.507,0.392,0.607,0.26,0.554,1,0.004,0.312,0.077,0.07,0.281
0.016,0.078,0.27899999999999997,0.012,0.2,0.222,11.1,0.149,12.2,0.307,0.856,8.4,0.449,0.391,0.113,0.477,0.148,0.583,0.003,0.33,0.072,0.029,0.091
0.096,0.27899999999999997,0.193,0.8,0.037000000000000005,0.111,19.3,0.285,24.4,0.436,0.692,15.8,0.505,0,0.525,0.002,0,NA,0.025,0.313,0.333,0.182,0.17
0.031,0.121,0.142,0.012,0.013000000000000001,0.127,15.1,0.263,14.4,0.28,0.815,16.9,0.43,0.356,0.705,0.388,0.233,1,0.004,0.181,0.116,0.056,0.259
