idPlayer,namePlayer,heightInches
202918,Xavier Silas,77
202698,Chris Singleton,81
202388,Donald Sloan,75
202962,Greg Smith,82
202536,Jerry Smith,74
202701,Nolan Smith,74
201880,Greg Stiemsma,83
202933,Julyan Stone,78
202738,Isaiah Thomas,69
202498,Lance Thomas,80
202952,Malcolm Thomas,81
202717,Trey Thompkins,82
202691,Klay Thompson,78
202814,Mychel Thompson,78
202684,Tristan Thompson,81
202719,Jeremy Tyler,82
202775,Edwin Ubiles,78
202686,Jan Vesely,84
202696,Nikola Vucevic,82
202689,Kemba Walker,72
201208,Darryl Watkins,83
202682,Derrick Williams,80
202343,Elliot Williams,77
202716,Jordan Williams,82
202874,Chris Wright,81
203112,Quincy Acy,79
203006,Josh Akognon,71
203084,Harrison Barnes,80
203115,Will Barton,77
203382,Aron Baynes,82
203145,Kent Bazemore,76
203078,Bradley Beal,76
201976,Patrick Beverley,73
203142,Chris Copeland,81
203109,Jae Crowder,78
203099,Jared Cunningham,76
203076,Anthony Davis,82
201986,Nando De Colo,77
203083,Andre Drummond,82
203119,Kim English,78
203105,Festus Ezeli,83
203095,Evan Fournier,78
200777,Joel Freeland,82
203197,Diante Garrett,76
101153,Mickael Gelabale,79
203110,Draymond Green,78
203162,Ben Hansbrough,75
203090,Maurice Harkless,79
203089,John Henson,81
203200,Justin Holiday,78
203108,Bernard James,82
203098,John Jenkins,76
203187,Chris Johnson,78
203111,Orlando Johnson,77
203130,Darius Johnson-Odom,74
203199,DeQuan Jones,80
203158,Kevin Jones,80
203103,Perry Jones III,83
203093,Terrence Jones,81
203126,Kris Joseph,79
203077,Michael Kidd-Gilchrist,78
203139,Viacheslav Kravtsov,83
203117,Doron Lamb,76
203087,Jeremy Lamb,77
203086,Meyers Leonard,84
203081,Damian Lillard,74
203159,Scott Machado,73
203088,Kendall Marshall,76
203097,Fab Melo,84
203114,Khris Middleton,79
203121,Darius Miller,78
203113,Quincy Miller,81
202700,Donatas Motiejunas,84
203102,Arnett Moultrie,82
203122,Kevin Murphy,78
203094,Andrew Nicholson,81
203124,Kyle O'Quinn,81
203317,Tim Ohlbrecht,83
203101,Miles Plumlee,83
203143,Pablo Prigioni,75
203085,Austin Rivers,76
203148,Brian Roberts,73
203080,Thomas Robinson,82
203082,Terrence Ross,78
203135,Robert Sacre,84
203118,Mike Scott,79
203129,Tornike Shengelia,81
203144,Alexey Shved,78
203156,Henry Sims,82
202713,Kyle Singler,80
203096,Jared Sullinger,81
78299,Jeff Taylor,76
203116,Tyshawn Taylor,75
203104,Marquis Teague,74
203141,Mirza Teletovic,81
200782,P.J. Tucker,77
202685,Jonas Valanciunas,83
202363,Jarvis Varnado,81
203079,Dion Waiters,75
203146,Maalik Wayns,73
203203,Chris Wright,73
203100,Tony Wroten,78
202545,Luke Zeller,83
203092,Tyler Zeller,83
203500,Steven Adams,83
203507,Giannis Antetokounmpo,83
203544,Pero Antic,83
203569,Chris Babb,77
203461,Anthony Bennett,80
203505,Vander Blue,77
203485,Lorenzo Brown,77
203493,Reggie Bullock,78
203504,Trey Burke,72
202779,Dwight Buycks,75
201979,Nick Calathes,78
203484,Kentavious Caldwell-Pope,77
203477,Isaiah Canaan,72
203487,Michael Carter-Williams,77
203546,Ian Clark,75
203496,Robert Covington,79
203459,Allen Crabbe,77
